nivel_actual,nivel_destino,Asamblea (coste_base=50),Cooperativa Ali (400),Biblioteca (3200),Sindicato (25600),C.Vivienda (204800),Radio (1638400),C.Energia (13107200),Univ.Popular (104857600),Red Comunas (838860800),La Internacional (6710886400)
1,2,150,1200,9600,76800,614400,4915200,39321600,314572800,2516582400,20132659200
2,3,225,1800,14400,115200,921600,7372800,58982400,471859200,3774873600,30198988800
3,4,300,2400,19200,153600,1228800,9830400,78643200,629145600,5033164800,40265318400
4,5,375,3000,24000,192000,1536000,12288000,98304000,786432000,6291456000,50331648000
5,6,450,3600,28800,230400,1843200,14745600,117964800,943718400,7549747200,60397977600
6,7,525,4200,33600,268800,2150400,17203200,137625600,1101004800,8808038400,70464307200
7,8,600,4800,38400,307200,2457600,19660800,157286400,1258291200,10066329600,80530636800
8,9,675,5400,43200,345600,2764800,22118400,176947200,1415577600,11324620800,90596966400
9,10,750,6000,48000,384000,3072000,24576000,196608000,1572864000,12582912000,100663296000
10,11,825,6600,52800,422400,3379200,27033600,216268800,1730150400,13841203200,110729625600
15,16,1200,9600,76800,614400,4915200,39321600,314572800,2516582400,20132659200,161061273600
20,21,1575,12600,100800,806400,6451200,51609600,412876800,3303014400,26424115200,211393126400
25,26,1950,15600,124800,998400,7987200,63897600,511180800,4089446400,32715571200,261724876800
50,51,3825,30600,244800,1958400,15667200,125337600,1002700800,8021606400,64172851200,513382809600
75,76,5700,45600,364800,2918400,23347200,186777600,1494220800,11953766400,95630131200,765041049600
99,100,7500,60000,480000,3840000,30720000,245760000,1966080000,15728640000,125829120000,1006632960000
